order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
71,ORD-20230406-00071,13,2023-04-06,enviado,1399.32,2,150,293.86,1815.19,credit_card,,,
72,ORD-20260521-00072,20,2026-05-21,enviado,3405.37,7,90,715.13,3972.12,debit_card,express,,
73,ord-20240424-00073,31,2024-04-24,procesando,1411.91,2,130,296.5,1810.17,paypal,express,,Nota del cliente: Llamar antes
74,ORD-20230905-00074,15,2023-09-05,,,9,120,436.21,0,debit_card,pickup,,
75,ORD-20230701-00075,7,2023-07-01,enviado,3428.51,13,410,,4112.79,debit_card,standard,,
76,ORD-20250323-00076,5,2025-03-23,pendiente,1117.15,7,240,234.6,1513.55,cash_on_delivery,express,,Nota del cliente: Entregar por la tarde
77,"ORD-20230906-00077
",,2023-09-06,pendiente,1392.58,2,120,292.44,1777.17,cash_on_delivery,express,5,
78,ORD-20260401-00078,100032,01 Apr 2026,cancelado,5141.1,12,250,1079.63,,bank_transfer,standard,5,
79,ORD-20240106-00079,24,2024-01-06,procesando,1256.22,20,480,263.81,1748.79,debit_card,express,5,
80,ORD-20260503-00080,25,2026-05-03,entregado,2023.4,,40,,2265.74,cash_on_delivery,standard,,Nota del cliente: Dejar en portería
81,ORD-20250403-00081,,2025-04-03,pendiente,,6,250,486.74,2915.47,credit_card,same_day,,Nota del cliente: Llamar antes
82,ORD-20230307-00082,1,2023-03-07,cancelado,1211.71,16,500,254.46,1772.3,debit_card,same_day,,
83,ORD-20230921-00083,26,2023-09-21,entregado,1713.39,7,40,359.81,1993.26,bank_transfer,pickup,9,
84,ORD-20230924-00084,22,2023-09-24,entregado,77.96,1,300,16.37,393.55,cash_on_delivery,pickup,,
85,ORD-20240317-00085,25,2024-03-17,procesando,,1,400,549.31,3538.92,debit_card,same_day,,
86,ORD-20250223-00086,30,2026-08-26,enviado,903.11,13,210,189.65,1185.36,debit_card,pickup,3,
87,ORD-20250128-00087,22,2025-01-28,pendiente,3956.68,4,390,830.9,,,same_day,,
88,ORD-20230521-00088,24,2023-05-21,enviado,2375.2,17,370,498.79,2840.21,,pickup,,
89,ORD-20240409-00089,2,2024-04-09,entregado,1742.88,0,300,366,2408.88,credit_card,,,
90,ORD-20260217-00090,14,2026-02-17,entregado,,6,480,161.48,-1364.27,,pickup,,Nota del cliente: Dejar en portería
91,"ORD-20250324-00091
",27,2025-03-24,cancelado,3146.33,19,440,660.73,3649.26,credit_card,same_day,,
92,ORD-20231213-00092,29,,procesando,3193.6,2,40,670.66,3840.39,cash_on_delivery,pickup,,
93,ORD-20230323-00093,10,2023-03-23,procesando,839.51,3,80,176.3,1070.62,debit_card,,,
94,ORD-20241114-00094,15,2024-11-14,pendiente,2849.22,7,170,598.34,3418.11,debit_card,same_day,,Nota del cliente: Entregar por la tarde
95,ORD-20240804-00095,,2024-08-04,cancelado,927.14,7,260,194.7,,credit_card,same_day,,
96,ORD-20240309-00096,2,2024-03-09,entregado,167.84,16,460,35.25,636.24,bank_transfer,standard,,
97,ord-20250722-00097,22,2025-07-22,entregado,,8,150,419.86,2409.23,,standard,2,
98,,21,2025-01-18,,4175.89,12,,876.94,4931.72,,pickup,,
99,ORD-20241031-00099,19,2024-10-31,procesando,1444.85,15,460,303.42,1991.54,,same_day,,
100,ORD-20250913-00100,8,2025-09-13,Cancelado,379.35,,50,79.66,433.14,,express,,Nota del cliente: Entregar por la tarde
29,ORD-20250825-00029,3,2025-08-25,,2023.4,0,90,424.91,2538.31,paypal,express,6,
58,ORD-20250508-00058,23,2025-05-08,enviado,1236.24,1,430,259.61,1913.49,debit_card,standard,3,
31,ORD-20260129-00031,18,2026-01-29,cancelado,1829.4,9,320,384.17,2368.92,bank_transfer,same_day,,
