order_item_id,order_id,product_id,quantity,unit_price,subtotal
84,26,2,3,371.12,1113.36
85,26,15,2,499.83,999.66
86,26,3,4,334.66,0
87,27,12,,-289.57,868.71
88,100026,15,5,499.83,2499.15
89,27,6,0,77.96,311.84
90,28,7,1,57.86,57.86
91,28,5,4,223.43,893.72
92,28,,2,19.67,39.34
93,28,,0,,289.3
94,28,,5,135.8,
95,29,19,5,404.68,2023.4
96,30,5,4,223.43,893.72
97,31,8,5,,622
98,31,6,4,77.96,311.84
99,31,17,4,223.89,895.56
100,32,15,1,499.83,499.83
101,32,9,5,19.67,98.35
102,32,14,1,235.77,235.77
103,32,8,1,124.4,124.4
104,100031,18,1,,
105,33,11,3,300.55,901.65
106,33,8,1,124.4,124.4
107,,13,4,N/A,N/A
108,33,11,5,300.55,1502.75
109,,9,2,19.67,39.34
110,34,6,4,77.96,311.84
111,34,11,2,300.55,601.1
112,34,15,1,499.83,499.83
113,35,5,3,223.43,670.29
114,35,2,1,371.12,371.12
115,35,10,1,240.13,240.13
116,35,15,2,499.83,999.66
117,35,11,1,300.55,0
118,36,12,1,-289.57,289.57
119,36,15,1,499.83,499.83
120,36,17,5,223.89,1119.45
121,36,15,1,499.83,499.83
122,36,19,5,404.68,2023.4
123,37,10,3,,720.39
124,38,11,,,
125,,11,,300.55,300.55
126,38,16,1,83.92,83.92
127,38,11,3,300.55,901.65
128,100038,,2,95.19,190.38
129,,16,4,83.92,335.68
130,39,2,5,371.12,1855.6
131,40,3,1,334.66,334.66
132,40,100009,4,240.13,960.52
133,40,16,4,83.92,335.68
134,100040,9,5,19.67,98.35
135,41,18,1,85.89,85.89
136,41,17,,223.89,1119.45
137,,6,5,77.96,389.8
138,41,14,,,943.08
139,,17,4,223.89,
140,42,18,2,85.89,171.78
141,42,17,0,223.89,1119.45
142,100042,1,5,274.4,1372
143,43,11,2,300.55,601.1
144,100043,11,4,300.55,1202.2
145,44,15,3,499.83,1499.49
146,44,14,1,235.77,235.77
147,44,2,3,,1113.36
148,44,11,3,300.55,901.65
149,45,11,2,300.55,601.1
150,46,8,3,124.4,373.2
151,46,15,1,499.83,499.83
152,47,8,2,124.4,248.8
153,47,3,4,,1338.64
154,47,14,2,235.77,471.54
155,47,18,4,85.89,343.56
156,,5,3,223.43,670.29
157,48,19,2,404.68,809.36
158,48,20,1,135.8,135.8
159,48,2,5,371.12,1855.6
160,48,11,2,300.55,601.1
161,49,11,2,300.55,601.1
162,49,1,2,,548.8
163,49,1,5,274.4,1372
164,49,100012,5,95.19,-475.95
165,50,6,5,77.96,389.8
166,50,5,4,223.43,893.72
167,50,17,2,223.89,447.78
168,51,17,4,223.89,895.56
169,,7,-1,57.86,57.86
170,51,12,3,289.57,868.71
171,52,,3,499.83,1499.49
172,,4,3,265.54,796.62
173,54,20,3,135.8,407.4
174,54,100018,N/A,404.68,2023.4
175,55,5,5,223.43,1117.15
176,56,1,3,274.4,823.2
177,56,9,1,19.67,19.67
178,56,14,2,235.77,471.54
179,56,13,2,95.19,190.38
180,57,9,N/A,19.67,59.01
181,57,7,3,57.86,173.58
182,57,8,5,124.4,622
183,57,18,3,85.89,257.67
184,57,12,1,289.57,289.57
185,58,12,4,289.57,1158.28
186,58,6,1,77.96,77.96
187,59,17,2,223.89,
188,59,11,5,300.55,1502.75
189,,3,1,,334.66
190,59,4,3,265.54,796.62
191,60,19,4,404.68,1618.72
192,60,1,3,,823.2
193,60,8,4,124.4,497.6
194,61,,2,77.96,155.92
195,61,3,5,334.66,
196,62,11,3,300.55,-901.65
197,62,10,4,240.13,960.52
198,62,20,1,135.8,135.8
199,,14,4,235.77,943.08
200,63,10,4,240.13,960.52
201,63,12,-3,289.57,868.71
202,63,14,2,235.77,471.54
203,63,9,3,19.67,59.01
204,64,17,3,223.89,671.67
205,,15,1,499.83,499.83
206,65,19,5,404.68,2023.4
207,65,8,4,124.4,497.6
208,65,19,0,,809.36
209,65,100012,3,95.19,285.57
210,65,18,2,85.89,171.78
211,66,6,5,77.96,389.8
212,66,5,4,,893.72
213,66,10,5,240.13,1200.65
214,66,16,5,83.92,419.6
215,,13,5,95.19,475.95
216,67,15,2,499.83,999.66
217,,20,2,135.8,271.6
218,67,13,,95.19,475.95
219,100066,19,4,404.68,1618.72
220,67,17,5,223.89,1119.45
221,68,10,5,240.13,1200.65
222,68,16,2,83.92,167.84
223,68,,3,N/A,
224,69,15,5,499.83,2499.15
225,70,4,1,265.54,265.54
226,71,10,1,240.13,240.13
227,71,5,1,223.43,
228,71,19,,404.68,404.68
229,71,,2,265.54,531.08
230,72,3,,334.66,
231,72,20,5,135.8,679
232,72,20,3,135.8,407.4
233,,9,4,-19.67,78.68
234,72,11,3,300.55,901.65
235,73,20,0,135.8,543.2
236,,12,3,289.57,868.71
237,,16,5,,419.6
238,74,1,5,274.4,1372
239,74,13,3,95.19,285.57
240,75,,2,85.89,171.78
241,75,19,3,404.68,
242,75,20,4,135.8,543.2
243,75,15,3,499.83,1499.49
244,100075,100004,5,223.43,1117.15
245,77,11,4,300.55,1202.2
246,77,13,2,95.19,190.38
247,,10,3,240.13,720.39
248,78,5,5,223.43,496014.60000000003
249,78,14,4,235.77,943.08
250,78,,,300.55,N/A
251,,12,4,289.57,1158.28
252,79,100004,2,223.43,446.86
253,79,19,1,404.68,404.68
254,79,19,,404.68,404.68
255,80,19,5,404.68,2023.4
256,81,5,4220,223.43,1117.15
257,81,10,1,240.13,240.13
258,81,10,4,240.13,960.52
259,82,9,5,19.67,98.35
260,82,2,3,371.12,1113.36
261,83,12,5,289.57,1447.85
262,83,4,1,265.54,265.54
263,84,6,1,77.96,77.96
264,85,7,1,0,57.86
265,85,18,2,85.89,171.78
266,85,11,3,300.55,901.65
267,85,2,4,371.12,1484.48
268,86,7,4,57.86,N/A
269,86,17,3,223.89,671.67
270,87,,5,300.55,1502.75
271,,13,5,95.19,475.95
272,87,100003,4,265.54,1062.16
273,87,7,3,57.86,173.58
274,87,2,2,,742.24
275,88,2,5,371.12,1855.6
276,88,,2,,480.26
277,88,9,2,19.67,39.34
278,89,11,5,300.55,1502.75
279,89,10,1,240.13,240.13
280,90,7,3,57.86,173.58
281,90,18,1,85.89,85.89
282,90,17,1,223.89,223.89
283,90,13,3,95.19,285.57
284,91,,,300.55,901.65
285,91,20,1,135.8,135.8
286,91,7,1324,57.86,115.72
287,91,1,4,,1097.6
288,91,17,4,223.89,895.56
289,92,3,4,334.66,1338.64
290,,5,4,223.43,893.72
291,92,17,3,223.89,671.67
292,92,12,1,289.57,289.57
293,93,16,2,30966.48,167.84
294,,17,3,,671.67
295,100093,15,4,499.83,
296,94,11,2,300.55,601.1
297,100093,8,2,124.4,248.8
298,100094,100017,3,,257.67
299,95,20,1,,135.8
300,100094,17,2,223.89,447.78
301,95,18,1,85.89,85.89
302,96,16,2,83.92,167.84
303,97,15,4,399364.17,1999.32
304,98,12,2,289.57,
305,98,1,4,274.4,
306,98,100014,,499.83,2499.15
307,99,100010,3,300.55,901.65
308,99,20,4,135.8,543.2
309,100,6,2,77.96,
310,100,100004,1,223.43,223.43
302,96,16,2,83.92,167.84
50,,16,4,83.92,335.68
113,35,5,3,223.43,670.29
290,,5,4,223.43,N/A
174,54,19,5,404.68,2023.4
33,9,18,,85.89,
253,79,19,1,404.68,404.68
168,51,17,4,223.89,895.56
3,1,11,3,300.55,901.65
