order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
34,ORD-20250608-00034,22.0,2025-06-08,pendiente,1412.77,9.0,0.0,296.68,1842.3,bank_transfer,standard,1.0,
35,ORD-20230203-00035,15.0,2023-02-03,enviado_v2,2581.75,15.0,60.0,0.0,2796.66,bank_transfer,express,6.0,
36,ORD-20251217-00036,17.0,2025-12-17,entregado,4432.08,13.0,60.0,930.74,4846.65,,express,8.0,Nota del cliente: Llamar antes
37,ORD-20251101-00037,13.0,2025-11-01,cancelado,720.39,18.0,370.0,151.28,1112.0,debit_card,express,,
38,ORD-20250207-00038,20.0,2025-02-07,pendiente,1586.67,,280.0,333.2,2088.8,bank_transfer,express,,
39,ORD-20240817-00039,100027.0,2024-08-17,entregado,2381.66,10.0,10.0,500.15,-2653.64,credit_card,express,,
40,ORD-20230316-00040,8.0,2023-03-16,enviado,1630.86,4.0,80.0,342.48,1988.11,paypal,express,,
41,ORD-20240314-00041,1.0,2024-03-14,entregado,2636.57,12.0,360.0,553.68,3233.86,credit_card,same_day,6.0,
42,ORD-20260512-00042,26.0,2026-05-12,entregado,2186.79,9.0,60.0,0.0,2509.21,paypla,standard,,
43,,3.0,2023-07-23,,1973.1,10.0,480.0,414.35,2670.14,cash_on_delivery,pickup,,
44,,25.0,,,4952.47,14.0,0.0,1040.02,5619.14,paypal,pickpu,,
45,ORD-20260312-00045,22.0,2026-03-12,enviado,0.0,9.0,400.0,126.23,1073.23,bank_transfer,standard,,
46,ORD-20250804-00046,,2025-08-04,enviado,873.03,11.0,40.0,183.34,1000.34,debit_card,express,,Nota del cliente: Llamar antes
47,ORD-20241113-00047,100022.0,2024-11-13,enviado,2123325.53,,490.0,645.29,3993.02,credit_card,standard,,
48,ORD-20240112-00048,31.0,2024-01-12,procesando,3401.86,10.0,130.0,714.39,3906.06,paypal,express,,
49,,33.0,2023-07-30,pendiente,2997.85,,230.0,629.55,3467.68,bank_transfer,pickup,,Nota del cliente: Llamar antes
50,ORD-20230717-00050,24.0,,pendiente,1731.3,3.0,0.0,363.57,2492.93,cash_on_delivery,express,,
51,,13.0,,procesando,1822.13,2.0,130.0,382.65,2298.34,debit_card,same_day,10.0,
52,ORD-20231206-00052,15.0,2023-12-06,enviado,1499.49,9.0,200.0,314.89,1879.43,credit_card,same_day,,
53,ORD-20230322-00053,20.0,2023-03-22,procesando,796.62,0.0,90.0,167.29,0.0,credit_card,standard,7.0,
54,ORD-20251226-00054,5.0,2025-12-26,procesando,2430.8,13.0,30.0,510.47,2655.27,bank_transfer,express,1.0,Nota del cliente: Dejar en portería
55,ORD-20250606-00055,5.0,2025-06-06,procesando,1117.15,5.0,240.0,234.6,0.0,cash_on_delivery,,1.0,
56,ORD-20250413-00056,9.0,2025-04-13,entregado,1504.79,16.0,0.0,316.01,2020.03,debit_card,standard,,
57,ORD-20230720-00057,2.0,,enviado,1401.83,5.0,260.0,294.38,1886.12,,standard,,
58,ORD-20250508-00058,23.0,2025-05-08,enviado,1236.24,1.0,430.0,259.61,1913.49,debit_card,standard,3.0,
59,ORD-20250704-00059,20.0,2025-07-04,procesando,3081.81,,100.0,647.18,3644.08,cash_on_delivery,pickup,,Nota del cliente: Dejar en portería
60,ORD-20230903-00060,5.0,2023-09-03,enviado,2939.52,19.0,60.0,617.3,3058.31,cash_on_delivery,express,,
61,ORD-20251028-00061,16.0,2025-10-28,Entregado,1829.22,1.0,0.0,384.14,0.0,bank_transfer,pickup,,
62,ORD-20230620-00062,34.0,2023-06-20,entregado,0.0,16.0,470.0,617.62,3558.1,debit_card,same_day,,
63,ORD-20240821-00063,15.0,2024-08-21,procesando,2359.78,14.0,0.0,495.55,2564.96,credit_card,pickup,,
64,ORD-20241102-00064,27.0,2024-11-02,enviado,1171.5,20.0,420.0,246.02,1603.22,bank_transfer_v2,same_day,,
65,ORD-20260119-00065,1.0,2026-01-19,entregado,3787.71,18.0,400.0,795.42,4301.34,debit_card,express,10.0,
66,ORD-20250807-00066,18.0,,pendiente,0.0,0.0,40.0,709.74,4129.46,credit_card,same_day,,
67,,32.0,2023-01-18,pendiente_v2,4485.38,3.0,70.0,941.93,5362.75,cash_on_delivery,pickup,,
68,ORD-20241025-00068,10.0,2024-10-25,procesando,1427.5,11.0,40.0,299.78,1610.26,debit_card,same_day,,
69,ORD-20241001-00069,32.0,2024-10-01,entregado,2499.15,1.0,360.0,524.82,3358.98,credit_card,standard,,
70,ORD-20250315-00070,15.0,2025-03-15,procesando,265.54,4.0,80.0,0.0,390.68,credit_card,standard,,
71,ORD-20230406-00071,13.0,2023-04-06,enviado,1399.32,2.0,150.0,293.86,1815.19,credit_card,,,
72,ORD-20260521-00072,20.0,2026-05-21,enviado,3405.37,7.0,90.0,715.13,3972.12,debit_card,express,,
73,ord-20240424-00073,31.0,2024-04-24,procesando,1411.91,2.0,130.0,296.5,1810.17,paypal,express,,Nota del cliente: Llamar antes
74,ORD-20230905-00074,15.0,2023-09-05,,0.0,9.0,120.0,436.21,0.0,debit_card,pickup,,
75,ORD-20230701-00075,7.0,2023-07-01,enviado,3428.51,13.0,410.0,0.0,4112.79,debit_card,standard,,
76,ORD-20250323-00076,5.0,2025-03-23,pendiente,1117.15,7.0,240.0,234.6,1513.55,cash_on_delivery,express,,Nota del cliente: Entregar por la tarde
77,"ORD-20230906-00077
",,2023-09-06,pendiente,1392.58,2.0,120.0,292.44,1777.17,cash_on_delivery,express,5.0,
78,ORD-20260401-00078,100032.0,,cancelado,5141.1,12.0,250.0,1079.63,0.0,bank_transfer,standard,5.0,
79,ORD-20240106-00079,24.0,2024-01-06,procesando,1256.22,20.0,480.0,263.81,1748.79,debit_card,express,5.0,
80,ORD-20260503-00080,25.0,2026-05-03,entregado,2023.4,,40.0,0.0,2265.74,cash_on_delivery,standard,,Nota del cliente: Dejar en portería
81,ORD-20250403-00081,,2025-04-03,pendiente,0.0,6.0,250.0,486.74,2915.47,credit_card,same_day,,Nota del cliente: Llamar antes
82,ORD-20230307-00082,1.0,2023-03-07,cancelado,1211.71,16.0,500.0,254.46,1772.3,debit_card,same_day,,
83,ORD-20230921-00083,26.0,2023-09-21,entregado,1713.39,7.0,40.0,359.81,1993.26,bank_transfer,pickup,9.0,
84,ORD-20230924-00084,22.0,2023-09-24,entregado,77.96,1.0,300.0,16.37,393.55,cash_on_delivery,pickup,,
85,ORD-20240317-00085,25.0,2024-03-17,procesando,0.0,1.0,400.0,549.31,3538.92,debit_card,same_day,,
86,ORD-20250223-00086,30.0,2026-08-26,enviado,903.11,13.0,210.0,189.65,1185.36,debit_card,pickup,3.0,
87,ORD-20250128-00087,22.0,2025-01-28,pendiente,3956.68,4.0,390.0,830.9,0.0,,same_day,,
88,ORD-20230521-00088,24.0,2023-05-21,enviado,2375.2,17.0,370.0,498.79,2840.21,,pickup,,
89,ORD-20240409-00089,2.0,2024-04-09,entregado,1742.88,0.0,300.0,366.0,2408.88,credit_card,,,
90,ORD-20260217-00090,14.0,2026-02-17,entregado,0.0,6.0,480.0,161.48,-1364.27,,pickup,,Nota del cliente: Dejar en portería
91,"ORD-20250324-00091
",27.0,2025-03-24,cancelado,3146.33,19.0,440.0,660.73,3649.26,credit_card,same_day,,
92,ORD-20231213-00092,29.0,,procesando,3193.6,2.0,40.0,670.66,3840.39,cash_on_delivery,pickup,,
93,ORD-20230323-00093,10.0,2023-03-23,procesando,839.51,3.0,80.0,176.3,1070.62,debit_card,,,
94,ORD-20241114-00094,15.0,2024-11-14,pendiente,2849.22,7.0,170.0,598.34,3418.11,debit_card,same_day,,Nota del cliente: Entregar por la tarde
95,ORD-20240804-00095,,2024-08-04,cancelado,927.14,7.0,260.0,194.7,0.0,credit_card,same_day,,
96,ORD-20240309-00096,2.0,2024-03-09,entregado,167.84,16.0,460.0,35.25,636.24,bank_transfer,standard,,
97,ord-20250722-00097,22.0,2025-07-22,entregado,0.0,8.0,150.0,419.86,2409.23,,standard,2.0,
98,,21.0,2025-01-18,,4175.89,12.0,0.0,876.94,4931.72,,pickup,,
99,ORD-20241031-00099,19.0,2024-10-31,procesando,1444.85,15.0,460.0,303.42,1991.54,,same_day,,
100,ORD-20250913-00100,8.0,2025-09-13,Cancelado,379.35,,50.0,79.66,433.14,,express,,Nota del cliente: Entregar por la tarde
